deck,slides,removed,day3,below,corners,bank,bank_above_day3,bankmark,bankcap,inv,index
Cycle 02 — Ecosystems & Feeding Relationships (Unit 1),37,32;33;34,28,29;30;31,33,27,yes,14,consumer;decomposer;biomass;mutualism;parasitism;commensalism;symbiosis;niche;coevolution,BANK_TERMS 0>14,yes
Cycle 03 — Energy Flow & Trophic Pyramids (Unit 1),33,31,30,,0,29,yes,7,photosynthesis;chemosynthesis;heat;energy pyramid,BANK_TERMS 0>8,
Cycle 04 — Cycles of Matter_ The Carbon Cycle (Unit 1),30,,28,,0,27,yes,0,carbon dioxide;photosynthesis,,
Cycle 05 — Photosynthesis (Unit 1),32,30,29,,0,28,yes,0,light energy;oxygen;carbon dioxide;water,,
Cycle 06 — Cellular Respiration & Fermentation (Unit 1),33,,31,,0,30,yes,0,heat;oxygen;glycolysis,,
Cycle 07 — Ecosystem Dynamics_ Populations & Succession (Unit 1),33,31,30,,0,29,yes,0,predator,,
Cycle 07 — Ecosystem Dynamics_ Populations & Succession (Unit 1),31,,29,,0,28,yes,0,lichen,,
Cycle 08 — Cells & Organelles (Unit 2),31,,29,,0,28,yes,0,chloroplast;mitochondria,,
Cycle 09 — Cell Membrane & Transport (Unit 2),38,,36,,0,35,yes,0,nonpolar,,
Cycle 10 — Enzymes (Unit 2),35,33,32,,0,31,yes,0,active site;denature,,
Cycle 11 — The Cell Cycle → Cancer (Unit 2),34,,32,,0,31,yes,0,tumor;benign;malignant;metastasis,,
Cycle 12 — Meiosis (Unit 3),32,,30,,0,29,yes,0,diploid (2n);haploid (n);homologous pair;sister chromatids;crossing over;independent assortment;gamete;zygote;cytokinesis;mitosis,,
Cycle 13 — Mendelian Genetics (Unit 3),33,31,30,,0,29,yes,0,probability,,
Cycle 14 — DNA Structure & Replication (Unit 3),33,31,30,,0,29,yes,0,base pairing;template;helicase;ligase,,
Cycle 15 — Protein Synthesis (Central Dogma) (Unit 4),33,31,30,,0,29,yes,0,trait;homologous;variation,,
Cycle 15 — Protein Synthesis (Central Dogma) (Unit 4),33,31,30,,0,29,yes,0,mRNA;nucleus;anticodon;amino acid;tRNA,,
Cycle 16 — Mutations & Gene Expression (Unit 4),37,,35,,0,34,yes,0,gene expression;totipotent;pluripotent;multipotent;blastocyst,,
Cycle 16 — Mutations & Gene Expression (Unit 4),32,,30,,0,29,yes,0,substitution;insertion;deletion;codon;amino acid;genetic code,,
Cycle 16 — Mutations & Gene Expression (Unit 4),33,,31,,0,30,yes,0,gamete;mutagen;deletion;inversion;translocation,,
Cycle 16 — Mutations & Gene Expression (Unit 4),33,,31,,0,30,yes,0,transgenic;species barrier;trait;gene;genetic code,,
Cycle 17 — Darwin & Evidence of Evolution (Unit 4),32,,30,,0,29,yes,0,homologous,,
Cycle 18 — Natural Selection & Adaptation (Unit 4),33,,31,,0,30,yes,0,mutation;allele;environment;adaptation,,
Cycle 19 — Speciation & Biodiversity (Unit 4),31,,29,,0,28,yes,0,barrier;interbreed;trait;ancestor,,
Cycle 20 — Human Impact (Capstone) (Unit 4),31,,29,,0,28,yes,0,use rate;renewal rate;native;non-native;predator;competition,,
