cycle,deck_file,deck_exists,live_name_matches,live_doc_id,lint,lint_hard,lint_advisory,agenda_rows,agenda_row_numbers,agenda_cycle_codes,agenda_topics,day1_rows,dup_day1,links_wellformed,student_copy_ok,topic_agreement,hard,advisory,hard_codes,advisory_codes,ready,blockers
Cycle 01,▶ LIVE — Cycle 01 — Lab Safety (VT).pptx,yes,n/a,,DOES NOT SHIP,7,8,0,,,,,,NO,yes,,2,8,H-DECK-MISSING,A-BIOLIST-FILEFORM; A-BIOLIST-ORPHAN; A-BIOLIST-VT-DRIFT; A-CYCLE-MULTI-DECK; A-DAY1-NO-DECK; A-DECK-NO-AGENDA; A-LINT-HARD; A-NO-LIVE-ID,not ready,deck_lint HARD x7; no agenda row; link defects x2; no live doc_id (no import route)
Cycle 02,▶ LIVE — Cycle 02 — Ecosystems & Feeding Relationships (VT deck).pptx,yes,yes,1aTfajRO2lX8DrC_oUFm6q3esbv4aABcwxYm8FT6Xh0o,DOES NOT SHIP,4,6,3,7 8 9,C02 C02 - 9th iready,Ecosystems & Change | Intro to Energy,7,,NO,yes,title-only,1,6,H-LINK-EMPTY,A-BIOLIST-FILEFORM; A-BIOLIST-VT-DRIFT; A-ID-UNKNOWN; A-LINT-HARD; A-TOPIC-ASPECT-DRIFT,not ready,deck_lint HARD x4; link defects x1
Cycle 03,▶ LIVE — Cycle 03 — Energy Flow & Trophic Pyramids.pptx,yes,yes,14LaNgK7spPJCDJhgYMXxbTiy8hkqiKXjewd2jT0gIS8,DOES NOT SHIP,3,7,1,11,C04,Energy Flow,,,yes,yes,title+aspect,0,4,,A-BIOLIST-ORPHAN; A-ID-UNKNOWN; A-LINT-HARD; A-NO-DAY1,not ready,deck_lint HARD x3
Cycle 04,▶ LIVE — Cycle 04 — Cycles of Matter_ The Carbon Cycle.pptx,yes,yes,1Le0Qf8JEferpcq0GsEwlFYHtuSUy58ontw273p931Sk,DOES NOT SHIP,3,7,3,12 13 14,C04 C05,Biogeochemical Cycles,13,,yes,yes,title+aspect,0,5,,A-BIOLIST-ORPHAN; A-CYCLE-MISMATCH; A-LATER-NEW-DECK; A-LINT-HARD,not ready,deck_lint HARD x3
Cycle 05,▶ LIVE — Cycle 05 — Photosynthesis.pptx,yes,yes,1CVdbvDC20ZSShGPA9SLh018A54JnF0tkaRwzP75bJ1A,DOES NOT SHIP,2,7,2,15 16,C05 C06,Photosynthesis,15,,yes,yes,title-only,0,3,,A-CYCLE-MISMATCH; A-LINT-HARD; A-TOPIC-ASPECT-DRIFT,not ready,deck_lint HARD x2
Cycle 06,▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation.pptx,yes,yes,1T_T_NqLy3spEaoj0AxBREZm09nk3GeSu6CwuWoo1y6c,DOES NOT SHIP,3,7,7,17 18 19 20 37 38 39,C06 C06e C07 C11,Cellular Respiration | Cellular Respiration & Glycolysis | Fermentation,19 38,yes,yes,yes,title-only,0,11,,A-BIOLIST-FILEFORM; A-BIOLIST-ORPHAN; A-CYCLE-MISMATCH; A-DUP-DAY1; A-LATER-NEW-DECK; A-LINT-HARD; A-TOPIC-ASPECT-DRIFT,not ready,"deck_lint HARD x3; this deck's day-1 is reused by a later unit, which needs its own"
Cycle 07a,▶ LIVE — Cycle 07a — Population Ecology.pptx,yes,yes,1OL8oNP1dbgqyboO6R52k0hSP11ljafRwbJ4Lrj3n5fI,DOES NOT SHIP,2,8,2,24 25,C07 C08,Population Ecology,,,yes,yes,title-only,0,2,,A-LINT-HARD; A-NO-DAY1,not ready,deck_lint HARD x2
Cycle 07b,▶ LIVE — Cycle 07b — Populations & Succession.pptx,yes,yes,1Q5rshN0etSwshzRmVEdphvJyTCT5iqSP7HsH7eohUW0,DOES NOT SHIP,2,7,3,21 22 23,C07,Ecological Succession,22,,yes,yes,title+aspect,0,1,,A-LINT-HARD,not ready,deck_lint HARD x2
Cycle 08,▶ LIVE — Cycle 08 — Cells & Organelles.pptx,yes,yes,167aT-Xysv8iCQ0ls7fj1q2QigJer7phhPNeq7q3Tuv8,DOES NOT SHIP,2,7,4,26 27 28 29,C08 C09,Cell Organelles | Intro to Cells,26,,yes,yes,title+aspect,0,7,,A-BIOLIST-FILEFORM; A-BIOLIST-ORPHAN; A-CYCLE-MISMATCH; A-LINT-HARD; A-TOPIC-ASPECT-DRIFT,not ready,deck_lint HARD x2
Cycle 09,▶ LIVE — Cycle 09 (review) — Cell Membrane & Transport.pptx,yes,yes,1RukmpUkUEzi2YZyB09-qI46ds4omy7CW5ysdtHR2kOU,DOES NOT SHIP,5,9,4,30 31 32 33,C09 C10,Cell Membrane | Cell Transport,30 33,yes,yes,yes,title-only,0,9,,A-BIOLIST-FILEFORM; A-BIOLIST-ORPHAN; A-CYCLE-MISMATCH; A-DUP-DAY1; A-LINT-HARD; A-TOPIC-ASPECT-DRIFT,not ready,"deck_lint HARD x5; this deck's day-1 is reused by a later unit, which needs its own"
Cycle 10,▶ LIVE — Cycle 10 — Enzymes.pptx,yes,yes,189YlTOuF2K9CRbe2ECYdxO8GW-YBUOAZ-VNh3sHvkF8,DOES NOT SHIP,2,6,2,34 35,C10 —,Enzymes,35,,yes,yes,title+aspect,0,4,,A-CYCLE-MISMATCH; A-LATER-NEW-DECK; A-LINT-HARD; A-TOPIC-ASPECT-DRIFT,not ready,deck_lint HARD x2
Cycle 11,▶ LIVE — Cycle 11 — The Cell Cycle to Cancer.pptx,yes,yes,1QP67RSEujgC5Pf_xZLNYwOZ1O_7Ko5s0ZmGetn56tdM,DOES NOT SHIP,3,6,4,40 41 42 43,C11 C12,Cell Regulation & Cancer | The Cell Cycle,42,,yes,yes,title-only,0,7,,A-BIOLIST-ORPHAN; A-CYCLE-MISMATCH; A-LATER-NEW-DECK; A-LINT-HARD; A-TOPIC-ASPECT-DRIFT,not ready,deck_lint HARD x3
Cycle 12,"▶ LIVE — Cycle 12 — The Process of Meiosis (VT deck, rebuilt).pptx",yes,yes,1Yo1TK_OiCj8nkI53I8z_kOL-hnZQCdX48Fzt23OG4uE,DOES NOT SHIP,5,5,3,44 61 62,C12 C15 C16,Asexual & Sexual Reproduction | Meiosis and Sexual Reproduction,62,,yes,yes,none,0,8,,A-BIOLIST-ORPHAN; A-CYCLE-MISMATCH; A-LATER-NEW-DECK; A-LINT-HARD; A-TOPIC-ASPECT-DRIFT,not ready,deck_lint HARD x5
Cycle 12b,Cycle 12b — Asexual & Sexual Reproduction (VT deck).pptx,yes,n/a,,ships,0,0,0,,,,,,yes,yes,,0,3,,A-DECK-NO-AGENDA; A-NO-LIVE-ID; A-NOT-IN-INVENTORY,not ready,no agenda row; no live doc_id (no import route)
Cycle 13,▶ LIVE — Cycle 13— Mendelian Genetics.pptx,yes,yes,1tCPGT4_4CPtHfX7Qg8it3FYgz89PEpLBZ3Oyfh1f-9g,DOES NOT SHIP,3,7,9,48 49 50 51 52 53 54 55 56,C13 C13e C14,Dihybrid Crosses | Genetics Continued: Punnett Squares | Intro to Genetics & Mendel | Introduction to Heredity,49 53,yes,yes,yes,none,0,15,,A-BIOLIST-FILEFORM; A-BIOLIST-ORPHAN; A-BIOLIST-VT-DRIFT; A-CYCLE-MISMATCH; A-DUP-DAY1; A-LATER-NEW-DECK; A-LINT-HARD; A-TOPIC-ASPECT-DRIFT; A-TOPIC-DRIFT,not ready,"deck_lint HARD x3; this deck's day-1 is reused by a later unit, which needs its own"
Cycle 14,▶ LIVE — Cycle 14 — DNA Structure & Replication.pptx,yes,yes,1-LcspqHnhO3lx__KVTqqFNCL5Eg2h_sg3nyD8jk0y_o,DOES NOT SHIP,3,6,4,57 58 59 60,C12 C14,DNA Replication | DNA Structure,59,,yes,yes,title-only,0,5,,A-BIOLIST-ORPHAN; A-CYCLE-MISMATCH; A-LINT-HARD; A-TOPIC-ASPECT-DRIFT; A-TOPIC-DRIFT,not ready,deck_lint HARD x3
Cycle 15a,▶ LIVE — Cycle 15a — Genes & Chromosomes.pptx,yes,yes,1axyIkBPxpsVEJuC5vU5zDx0UiYkMg9Brs8axhZQxLik,DOES NOT SHIP,2,5,2,63 64,C15,Genes and Chromosomes,,,yes,yes,title+aspect,0,2,,A-LINT-HARD; A-NO-DAY1,not ready,deck_lint HARD x2
Cycle 15b,▶ LIVE — Cycle 15b — Protein Synthesis.pptx,yes,yes,1QUnwQX2DbdV4awPH6wKIUuNdehgANW3y7scfKSI97VQ,DOES NOT SHIP,2,5,3,65 66 67,C15 C16,Protein Synthesis: Transcription and Translation,66,,yes,yes,title+aspect,0,1,,A-LINT-HARD,not ready,deck_lint HARD x2
Cycle 16a,▶ LIVE — Cycle 16a — Stem Cells and Differentiation.pptx,yes,yes,1lAtQxV4ofC6Ghc7ZIazeUUFMDOcpgWf-KADzu6Qlcd8,DOES NOT SHIP,3,6,3,45 46 47,C13 C16,Stem Cell Differentiation,46,,yes,yes,title+aspect,0,1,,A-LINT-HARD,not ready,deck_lint HARD x3
Cycle 16b,▶ LIVE — Cycle 16b — Genetic Mutations.pptx,yes,yes,1XsZBcwZpanyDpCZB6MpANIJ0KD4vW0gRM7M_XM0CcN0,DOES NOT SHIP,3,5,0,,,,,,yes,yes,,0,2,,A-DECK-NO-AGENDA; A-LINT-HARD,not ready,deck_lint HARD x3; no agenda row
Cycle 16c,▶ LIVE — Cycle 16c — Mutations and Genetic Disorders.pptx,yes,yes,1pQh4s3RuQwm4oQe1GpSbjQjNcMLtsA8W8hghYmLdS6w,DOES NOT SHIP,3,6,0,,,,,,yes,yes,,0,2,,A-DECK-NO-AGENDA; A-LINT-HARD,not ready,deck_lint HARD x3; no agenda row
Cycle 16d,▶ LIVE — Cycle 16d — Biotechnology.pptx,yes,yes,1jcKExCYP0yjjix9PX08p1FDnPdv5epVGiqWr9g-xtP8,DOES NOT SHIP,3,5,0,,,,,,yes,yes,,0,2,,A-DECK-NO-AGENDA; A-LINT-HARD,not ready,deck_lint HARD x3; no agenda row
Cycle 17,▶ LIVE — Cycle 17 — Darwin & Evidence of Evolution.pptx,yes,yes,1XbVqhaQfJuEz2UW6_fQO521JF-PeOuw3uK2upZ2L5Ao,DOES NOT SHIP,2,5,1,70,C17,Darwin and the Development of a Theory,,,yes,yes,title-only,0,11,,A-AGENDA-NO-DECK; A-BIOLIST-FILEFORM; A-BIOLIST-ORPHAN; A-BIOLIST-VT-DRIFT; A-ID-UNKNOWN; A-LATER-NEW-DECK; A-LINT-HARD; A-NO-DAY1; A-TOPIC-ASPECT-DRIFT,not ready,deck_lint HARD x2
Cycle 18,▶ LIVE — Cycle 18 — Natural Selection & Adaptation.pptx,yes,yes,1kzCBAq90Yukf8Zr5fnTOO7DcuNaj8Gi37En9OrVeHtU,DOES NOT SHIP,2,6,0,,,,,,yes,yes,,0,11,,A-AGENDA-NO-DECK; A-BIOLIST-FILEFORM; A-BIOLIST-ORPHAN; A-BIOLIST-VT-DRIFT; A-DECK-NO-AGENDA; A-LINT-HARD,not ready,deck_lint HARD x2; no agenda row
Cycle 19,▶ LIVE — Cycle 19 — Speciation & Biodiversity.pptx,yes,yes,1qBC6qAhK3H6aAHgHMvTg1NQ3bNTFF4o81qWmkeis6to,DOES NOT SHIP,2,9,0,,,,,,yes,yes,,0,7,,A-AGENDA-NO-DECK; A-BIOLIST-FILEFORM; A-BIOLIST-ORPHAN; A-DECK-NO-AGENDA; A-LINT-HARD,not ready,deck_lint HARD x2; no agenda row
Cycle 20,▶ LIVE — Cycle 20 — Human Impact Capstone.pptx,yes,yes,1IpwazS54m3PB88ry70VOTtfZbb6EbQUZoNEsmcyKaAQ,DOES NOT SHIP,2,6,0,,,,,,yes,yes,,0,8,,A-AGENDA-NO-DECK; A-BIOLIST-FILEFORM; A-BIOLIST-ORPHAN; A-DECK-NO-AGENDA; A-LINT-HARD,not ready,deck_lint HARD x2; no agenda row
