tier,code,cycle,where,message
ADVISORY,A-CYCLE-MULTI-DECK,Cycle 01,deck:Cycle 01,"2 distinct base decks share this cycle key, so only one could be rolled up: ▶ LIVE — Cycle 01 — Lab Safety (VT).pptx; ▶ LIVE — Cycle01_Day 1.pptx"
ADVISORY,A-NO-LIVE-ID,Cycle 01,deck:Cycle 01,no row in decks_live_ids.csv — there is no import route for this deck ('▶ LIVE — Cycle 01 — Lab Safety (VT).pptx')
ADVISORY,A-NOT-IN-INVENTORY,Cycle 12b,deck:Cycle 12b,'Cycle 12b — Asexual & Sexual Reproduction (VT deck).pptx' is not in deck_inventory_2026-08-29b.csv — its critical aspects could not be compared against the agenda topic
ADVISORY,A-NO-LIVE-ID,Cycle 12b,deck:Cycle 12b,no row in decks_live_ids.csv — there is no import route for this deck ('Cycle 12b — Asexual & Sexual Reproduction (VT deck).pptx')
HARD,H-DECK-MISSING,Cycle 01,Biology!G3:H3,scheduled meeting (1 of 2 / School Intro) 2026-08-31 — 'Schedules set up + science sheet' — has NO deck link
HARD,H-DECK-MISSING,Cycle 01,Biology!G4:H4,scheduled meeting (2 of 2 / Class intro) 2026-09-02 — 'Look through jobs - interview form-self page' — has NO deck link
HARD,H-LINK-EMPTY,Cycle 02,Biology!H6,student deck cell shows label text '🎞 Deck ↗' with no URL — the link looks live and goes nowhere
ADVISORY,A-AGENDA-NO-DECK,Cycle 17,Biology!G71:H71,no deck link; row is not yet a scheduled meeting (block='' phase='') 2027-05-03 — 'Darwin and the Development of a Theory'
ADVISORY,A-AGENDA-NO-DECK,Cycle 17,Biology!G72:H72,no deck link; row is not yet a scheduled meeting (block='' phase='') 2027-05-05 — 'Using Fossil Evidence to Investigate Whale Evolution'
ADVISORY,A-AGENDA-NO-DECK,Cycle 18,Biology!G73:H73,no deck link; row is not yet a scheduled meeting (block='' phase='') 2027-05-10 — 'Using Fossil Evidence to Investigate Whale Evolution'
ADVISORY,A-AGENDA-NO-DECK,Cycle 18,Biology!G74:H74,no deck link; row is not yet a scheduled meeting (block='' phase='') 2027-05-12 — 'Natural Selection'
ADVISORY,A-AGENDA-NO-DECK,Cycle 18,Biology!G75:H75,no deck link; row is not yet a scheduled meeting (block='' phase='') 2027-05-14 — 'Natural Selection'
ADVISORY,A-AGENDA-NO-DECK,Cycle 18,Biology!G76:H76,no deck link; row is not yet a scheduled meeting (block='' phase='') 2027-05-17 — 'Natural Selection'
ADVISORY,A-AGENDA-NO-DECK,Cycle 18,Biology!G77:H77,no deck link; row is not yet a scheduled meeting (block='' phase='') 2027-05-19 — 'The Genetic Basis of Adaptation'
ADVISORY,A-AGENDA-NO-DECK,Cycle 19,Biology!G78:H78,no deck link; row is not yet a scheduled meeting (block='' phase='') 2027-05-24 — 'The Genetic Basis of Adaptation'
ADVISORY,A-AGENDA-NO-DECK,Cycle 19,Biology!G79:H79,no deck link; row is not yet a scheduled meeting (block='' phase='') 2027-05-26 — 'The Processes and Outcomes of Evolution'
ADVISORY,A-AGENDA-NO-DECK,Cycle 19,Biology!G80:H80,no deck link; row is not yet a scheduled meeting (block='' phase='') 2027-05-28 — 'The Processes and Outcomes of Evolution'
ADVISORY,A-AGENDA-NO-DECK,Cycle 20,Biology!G81:H81,no deck link; row is not yet a scheduled meeting (block='' phase='') 2027-06-02 — 'The Processes and Outcomes of Evolution'
ADVISORY,A-AGENDA-NO-DECK,Cycle 20,Biology!G82:H82,no deck link; row is not yet a scheduled meeting (block='' phase='') 2027-06-07 — 'Human Impact (Capstone)'
ADVISORY,A-AGENDA-NO-DECK,Cycle 20,Biology!G83:H83,no deck link; row is not yet a scheduled meeting (block='' phase='') 2027-06-09 — 'Human Impact (Capstone)'
ADVISORY,A-AGENDA-NO-DECK,Cycle 20,Biology!G84:H84,no deck link; row is not yet a scheduled meeting (block='' phase='') 2027-06-11 — ''
ADVISORY,A-BIOLIST-FILEFORM,Cycle 01,BioAsList!F4,"Wk 01 'Introduction to Biology' VT link is a Drive file link, not presentation/d — cannot be /copy distributed: https://drive.google.com/open?id=1_DcK-YZWG5AFM7FLykNX71qNe8gP8EejhgnTJaXRQlA"
ADVISORY,A-BIOLIST-VT-DRIFT,Cycle 01,BioAsList!F4/K4,Wk 01 'Introduction to Biology': visible VT link (1_DcK-YZWG5AFM7FLykNX71qNe8gP8EejhgnTJaXRQlA) and the _vtURL helper column (1HkyGoPNLN68dT8MBYTcWRBefOa1wlbCXbPfUuGxMxq4) name different decks
ADVISORY,A-BIOLIST-ORPHAN,Cycle 01,BioAsList!F4,"Wk 01 'Introduction to Biology' points at deck 1_DcK-YZWG5AFM7FLykNX71qNe8gP8EejhgnTJaXRQlA, which the dated Biology tab never uses"
ADVISORY,A-BIOLIST-FILEFORM,Cycle 02,BioAsList!F5,"Wk 02 'Ecosystems & Change' VT link is a Drive file link, not presentation/d — cannot be /copy distributed: https://drive.google.com/open?id=1aTfajRO2lX8DrC_oUFm6q3esbv4aABcwxYm8FT6Xh0o"
ADVISORY,A-BIOLIST-FILEFORM,Cycle 02,BioAsList!F6,"Wk 03 'Intro to Energy' VT link is a Drive file link, not presentation/d — cannot be /copy distributed: https://drive.google.com/open?id=1aTfajRO2lX8DrC_oUFm6q3esbv4aABcwxYm8FT6Xh0o"
ADVISORY,A-BIOLIST-VT-DRIFT,Cycle 02,BioAsList!F6/K6,Wk 03 'Intro to Energy': visible VT link (1aTfajRO2lX8DrC_oUFm6q3esbv4aABcwxYm8FT6Xh0o) and the _vtURL helper column (16_tL1KMCYRkpZb5UPargPeVRvVxE7_fU5l2sGHc7O9g) name different decks
ADVISORY,A-BIOLIST-ORPHAN,Cycle 03,BioAsList!F7,"Wk 04 'Energy Flow' points at deck 13RT17nQTZhNtQCiOu-cpeBeXrCDc71Zb9lKMc7_Gzjs, which the dated Biology tab never uses"
ADVISORY,A-BIOLIST-ORPHAN,Cycle 04,BioAsList!F8,"Wk 05 'Biogeochemical Cycles' points at deck 1dRdAXmX9u2L-0qKLeW-o9OwoMaaJsik74C9nhysu_GY, which the dated Biology tab never uses"
ADVISORY,A-BIOLIST-FILEFORM,Cycle 06,BioAsList!F10,"Wk 07 'Cellular Respiration' VT link is a Drive file link, not presentation/d — cannot be /copy distributed: https://drive.google.com/file/d/1zhfptAZDoxYNYBHQAAWRv9nAtZgYJSeV/view"
ADVISORY,A-BIOLIST-ORPHAN,Cycle 06,BioAsList!F10,"Wk 07 'Cellular Respiration' points at deck 1zhfptAZDoxYNYBHQAAWRv9nAtZgYJSeV, which the dated Biology tab never uses"
ADVISORY,A-BIOLIST-ORPHAN,Cycle 06,BioAsList!F11,"Wk 08 'Fermentation' points at deck 1EKjFh0ZgeOjEwatzXTbmNXcIXvx6UzP53KkTttmj_Yw, which the dated Biology tab never uses"
ADVISORY,A-BIOLIST-ORPHAN,Cycle 07,BioAsList!F12,"Wk 09 'Ecological Succession' points at deck 1nl_G0kH65BVa0Jnni0NKn32Y6EjgKXQkYaJA9vpugQM, which the dated Biology tab never uses"
ADVISORY,A-BIOLIST-ORPHAN,Cycle 07,BioAsList!F13,"Wk 10 'Population Ecology' points at deck 1JhfjicmaKUwJpG6_yzfPZkQ63XvgJ92Nhkm0eZV9dpU, which the dated Biology tab never uses"
ADVISORY,A-BIOLIST-FILEFORM,Cycle 08,BioAsList!F14,"Wk 11 'Intro to Cells' VT link is a Drive file link, not presentation/d — cannot be /copy distributed: https://drive.google.com/file/d/1n_gDVHMbpzn2CPCG6xgP1gOZ4Drp9hVc/view"
ADVISORY,A-BIOLIST-ORPHAN,Cycle 08,BioAsList!F14,"Wk 11 'Intro to Cells' points at deck 1n_gDVHMbpzn2CPCG6xgP1gOZ4Drp9hVc, which the dated Biology tab never uses"
ADVISORY,A-BIOLIST-FILEFORM,Cycle 08,BioAsList!F15,"Wk 12 'Cell Organelles' VT link is a Drive file link, not presentation/d — cannot be /copy distributed: https://drive.google.com/file/d/1n_gDVHMbpzn2CPCG6xgP1gOZ4Drp9hVc/view"
ADVISORY,A-BIOLIST-ORPHAN,Cycle 08,BioAsList!F15,"Wk 12 'Cell Organelles' points at deck 1n_gDVHMbpzn2CPCG6xgP1gOZ4Drp9hVc, which the dated Biology tab never uses"
ADVISORY,A-BIOLIST-FILEFORM,Cycle 09,BioAsList!F17,"Wk 14 'Cell Membrane' VT link is a Drive file link, not presentation/d — cannot be /copy distributed: https://drive.google.com/file/d/1g0j8ImOZfuoEv5eeAWBPWfdn12tvmkNS/view"
ADVISORY,A-BIOLIST-ORPHAN,Cycle 09,BioAsList!F17,"Wk 14 'Cell Membrane' points at deck 1g0j8ImOZfuoEv5eeAWBPWfdn12tvmkNS, which the dated Biology tab never uses"
ADVISORY,A-BIOLIST-ORPHAN,Cycle 09,BioAsList!F18,"Wk 15 'Cell Transport' points at deck 1XZ7F-K9hq1xt65xCHe8WhTxPnnUw2HMrTrT7AJmt2Eo, which the dated Biology tab never uses"
ADVISORY,A-BIOLIST-ORPHAN,Cycle 06e,BioAsList!F20,"Wk 17 'Cellular Respiration & Glycolysis' points at deck 10H4lgRBHqvSIOA_xWwXzxFA-un-UPfImGYr0IzZqEqY, which the dated Biology tab never uses"
ADVISORY,A-BIOLIST-ORPHAN,Cycle 11,BioAsList!F21,"Wk 18 'Cell Regulation & Cancer' points at deck 13yF57Wh7rYtp1jS1JJXTQUAlBVoEF6UFDRf-w72HuZk, which the dated Biology tab never uses"
ADVISORY,A-BIOLIST-ORPHAN,Cycle 11,BioAsList!F22,"Wk 19 'The Cell Cycle' points at deck 1jSojIg32NnqwkcAZAjQRNF232pqyJHszIzl27Zj7Ik0, which the dated Biology tab never uses"
ADVISORY,A-BIOLIST-ORPHAN,Cycle 12,BioAsList!F23,"Wk 20 'Asexual & Sexual Reproduction' points at deck 1rxqc_AjVRQWI3JvCJJkZybzXxU1oliBD, which the dated Biology tab never uses"
ADVISORY,A-BIOLIST-ORPHAN,Cycle 16,BioAsList!F24,"Wk 21 'Stem Cell Differentiation' points at deck 1gKBIQC0lyCG7SPhdZtg6WnAdkWjj8Eg11oGyfHHOV7s, which the dated Biology tab never uses"
ADVISORY,A-BIOLIST-FILEFORM,Cycle 13,BioAsList!F25,"Wk 22 'Introduction to Heredity' VT link is a Drive file link, not presentation/d — cannot be /copy distributed: https://drive.google.com/file/d/1bAofwJw-zGbjt_7Qb8c2d6_kTMx8rzwz/view"
ADVISORY,A-BIOLIST-VT-DRIFT,Cycle 13,BioAsList!F25/K25,Wk 22 'Introduction to Heredity': visible VT link (1bAofwJw-zGbjt_7Qb8c2d6_kTMx8rzwz) and the _vtURL helper column (1taMSu024ussGe1LwynV9D92JFFOfaaGv) name different decks
