cycle,deck_file,slide,link_text,old_url,new_url,target_file,evidence
Cycle 03,▶ LIVE — Cycle 03 — Energy Flow & Trophic Pyramids — with Concept Bank.pptx,1,Energy Flow — Station Checksheet,about:blank,https://drive.google.com/file/d/1dUHg9wztUe2kQUjnOUpY8lYzsAXiMDZ1/view,Cycle 03 — Energy Flow — Station Checksheet.docx,name match 0.80 in the deck's own cycle; target = SHARED tree (print subfolder); the same file exists as 4 copies (AGENDA+PUBLIC+SHARED) — SHARED chosen because 71/71 working links point there
Cycle 03,▶ LIVE — Cycle 03 — Energy Flow & Trophic Pyramids.pptx,1,Energy Flow — Station Checksheet,about:blank,https://drive.google.com/file/d/1dUHg9wztUe2kQUjnOUpY8lYzsAXiMDZ1/view,Cycle 03 — Energy Flow — Station Checksheet.docx,name match 0.80 in the deck's own cycle; target = SHARED tree (print subfolder); the same file exists as 4 copies (AGENDA+PUBLIC+SHARED) — SHARED chosen because 71/71 working links point there
Cycle 05,▶ LIVE — Cycle 05 — Photosynthesis — with Concept Bank.pptx,1,Van Helmont — where a tree's mass comes from,https://drive.google.com/file/d/1Spjx6KJAo1ka2Ms-LfCnsHQmOOCbIZcx/view,https://drive.google.com/file/d/1Vybu8iVyXmx1BHKk10E0Vc8ozOx6NdUu/view,(BOTH) Cycle 05 — Where Does a Tree_s Mass Come From — Van Helmont.docx,name match 0.60 in the deck's own cycle; target = SHARED tree; WARNING 2 differently-named candidates tie ((BOTH) Cycle 05 — Where Does a Tree_s Mass Come From — Van Helmont; Cycle 05 — Where Does a Tree_s Mass Come From — Van ) — verify by hand
Cycle 05,▶ LIVE — Cycle 05 — Photosynthesis — with Concept Bank.pptx,1,Photosynthesis Leaf-Disk Lab,https://drive.google.com/file/d/1oiLh3D3NMCeQcehS7U3n7B0SCQNsBPZq/view,https://drive.google.com/file/d/1QlALR7naF23AqsE4j7Jr-B6HvLTdxfru/view,Cycle 05 — Photosynthesis Leaf-Disk Lab.docx,name match 0.80 in the deck's own cycle; target = SHARED tree (print subfolder); the same file exists as 3 copies (AGENDA+PUBLIC+SHARED) — SHARED chosen because 71/71 working links point there
Cycle 05,▶ LIVE — Cycle 05 — Photosynthesis.pptx,1,Van Helmont — where a tree's mass comes from,https://drive.google.com/file/d/1Spjx6KJAo1ka2Ms-LfCnsHQmOOCbIZcx/view,https://drive.google.com/file/d/1Vybu8iVyXmx1BHKk10E0Vc8ozOx6NdUu/view,(BOTH) Cycle 05 — Where Does a Tree_s Mass Come From — Van Helmont.docx,name match 0.60 in the deck's own cycle; target = SHARED tree; WARNING 2 differently-named candidates tie ((BOTH) Cycle 05 — Where Does a Tree_s Mass Come From — Van Helmont; Cycle 05 — Where Does a Tree_s Mass Come From — Van ) — verify by hand
Cycle 05,▶ LIVE — Cycle 05 — Photosynthesis.pptx,1,Photosynthesis Leaf-Disk Lab,https://drive.google.com/file/d/1oiLh3D3NMCeQcehS7U3n7B0SCQNsBPZq/view,https://drive.google.com/file/d/1QlALR7naF23AqsE4j7Jr-B6HvLTdxfru/view,Cycle 05 — Photosynthesis Leaf-Disk Lab.docx,name match 0.80 in the deck's own cycle; target = SHARED tree (print subfolder); the same file exists as 3 copies (AGENDA+PUBLIC+SHARED) — SHARED chosen because 71/71 working links point there
Cycle 06,▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation — with Concept Bank.pptx,32,https://drive.google.com/file/d/1wBLxic3jHtPKsO8eHRWXuZ5C1FbmBrvY/view,https://drive.google.com/file/d/1SK3ONY4nwLKp1X_E3-2XyqCcuS59vSWr/view,https://drive.google.com/file/d/1wBLxic3jHtPKsO8eHRWXuZ5C1FbmBrvY/view,Cycle 06 — Cellular Respiration — CA1 Worksheet.docx,the slide PRINTS 1wBLxic3... and that id resolves; the live hyperlink goes to 1SK3ONY4... which resolves nowhere. Fix = make the link match its own printed URL. Two independent signals agree.
Cycle 06,▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation.pptx,31,https://drive.google.com/file/d/1wBLxic3jHtPKsO8eHRWXuZ5C1FbmBrvY/view,https://drive.google.com/file/d/1SK3ONY4nwLKp1X_E3-2XyqCcuS59vSWr/view,https://drive.google.com/file/d/1wBLxic3jHtPKsO8eHRWXuZ5C1FbmBrvY/view,Cycle 06 — Cellular Respiration — CA1 Worksheet.docx,the slide PRINTS 1wBLxic3... and that id resolves; the live hyperlink goes to 1SK3ONY4... which resolves nowhere. Fix = make the link match its own printed URL. Two independent signals agree.
Cycle 08,▶ LIVE — Cycle 08 — Cells & Organelles — with Concept Bank.pptx,1,Cell Organelles Activity Guide,https://drive.google.com/file/d/1Z93aLwdJ7JgKuvPtQw-tlB_aRKbnK152/view,https://drive.google.com/file/d/1rvKft2koiEEGdO7HC-7lhAVMm8jLs3kk/view,Cycle 08 — Cell Organelles Activity Guide.docx,name match 0.80 in the deck's own cycle; target = SHARED tree (print subfolder); the same file exists as 3 copies (AGENDA+PUBLIC+SHARED) — SHARED chosen because 71/71 working links point there
Cycle 08,▶ LIVE — Cycle 08 — Cells & Organelles.pptx,1,Cell Organelles Activity Guide,https://drive.google.com/file/d/1Z93aLwdJ7JgKuvPtQw-tlB_aRKbnK152/view,https://drive.google.com/file/d/1rvKft2koiEEGdO7HC-7lhAVMm8jLs3kk/view,Cycle 08 — Cell Organelles Activity Guide.docx,name match 0.80 in the deck's own cycle; target = SHARED tree (print subfolder); the same file exists as 3 copies (AGENDA+PUBLIC+SHARED) — SHARED chosen because 71/71 working links point there
