file,folder,slides,ships,hard,advisory,hard_codes,advisory_codes,dims,fonts_offending,colors_offending,tier_slides,diagnostic_slides,markers_present,teacher_prep,concept_bank,links_slide,teacher_note,day_dividers,n_aspects,critical_aspects,move1_pass,move1_verdict,coordination,coordination_candidates,conditional_types,visibility_declared,bank_relates,what_if,slide_types_ordered
▶ LIVE — Cycle 01 — Lab Safety (VT).pptx,Cycle 01 — Course Launch & Lab Safety (Unit 1),25,False,7,7,H-FORMAT-FONT; H-FORMAT-HEX; H-FORMAT-SCALE; H-TEACHER-PREP; H-CONCEPT-BANK; H-LINKS-SLIDE; H-TEACHER-NOTE,A-PALETTE-DRIFT; A-TIER-COLOR; A-TN-ITEMS; A-NO-FUSION; A-CA-NOT-DECLARED; A-CORE-DROPPED; A-VISIBILITY,9144000x6858000,Calibri; Overlock,17365D; 1D1B10; 1E1C11; 7030A0; 999999; D68910; D9383A; F9F6FC,1,6,Critical aspect; Pattern break; Build-a-rule; What-if,0,0,0,0,0,1,what a safety symbol is really telling you,True,S12: comparison,,,,False,False,1,Content/Explanation > Bellringer > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Build a Rule > Pattern Break > 3-Tier Question > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > What if > Content/Explanation
▶ LIVE — Cycle01_Day 1.pptx,Cycle 01 — Course Launch & Lab Safety (Unit 1),9,False,9,8,H-FORMAT-FONT; H-FORMAT-SCALE; H-TIER-VERBATIM; H-TEACHER-PREP; H-CONCEPT-BANK; H-LINKS-SLIDE; H-TEACHER-NOTE,A-PALETTE-DRIFT; A-MARKER-ABSENT; A-TN-ITEMS; A-MOVE1-NO-DIFF; A-NO-FUSION; A-CA-NOT-DECLARED; A-CORE-DROPPED; A-VISIBILITY,9144000x6858000,Calibri; Inter; Inter ExtraBold,1A202C; 2D3748; 4A5568; 718096,0,1,Critical aspect,0,0,0,0,0,1,What makes a science class worth being in,False,S4: NO DIFFERENCE,,,,False,False,0,Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation
_backup_before_corner_strip.pptx,Cycle 02 — Ecosystems & Feeding Relationships (Unit 1),34,False,2,6,H-TEACHER-PREP; H-TEACHER-NOTE,A-TN-ITEMS; A-CA-NOT-DECLARED; A-COND-NO-REASON; A-VISIBILITY; A-BANK-NO-RELATE; A-WHATIF,9144000x6858000,,,2,13,Critical aspect; Pattern break; Build-a-rule; What-if,0,1,1,0,3,2,Energy flow through trophic levels | Symbiosis and species relationships,True,S7: named alternatives ;; S19: comparison,stock-and-flow model (slide 32),possible conflict case (slide 23),Continuity question (slide 13); Stock-and-flow model (slide 8),False,False,1,Teacher reference > Day divider > Bellringer > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Stock-and-flow model > Contrast Set > Content/Explanation > Build a Rule > Pattern Break > Continuity question > 3-Tier Question > Response slide > Activity > Day divider > Activity > Content/Explanation > Content/Explanation > Contrast Set > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > What if > Optional challenge > Relates to me > Concept Bank > Day divider > Teacher navigation > Links slide > Image credits
▶ LIVE — Cycle 02 — Ecosystems & Feeding Relationships (VT deck) — with Concept Bank + slide index.pptx,Cycle 02 — Ecosystems & Feeding Relationships (Unit 1),34,False,2,6,H-TEACHER-PREP; H-TEACHER-NOTE,A-TN-ITEMS; A-CA-NOT-DECLARED; A-COND-NO-REASON; A-VISIBILITY; A-BANK-NO-RELATE; A-WHATIF,9144000x6858000,,,2,13,Critical aspect; Pattern break; Build-a-rule; What-if,0,1,1,0,3,2,Energy flow through trophic levels | Symbiosis and species relationships,True,S7: named alternatives ;; S19: comparison,stock-and-flow model (slide 32),possible conflict case (slide 23),Continuity question (slide 13); Stock-and-flow model (slide 8),False,False,1,Teacher reference > Day divider > Bellringer > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Stock-and-flow model > Contrast Set > Content/Explanation > Build a Rule > Pattern Break > Continuity question > 3-Tier Question > Response slide > Activity > Day divider > Activity > Content/Explanation > Content/Explanation > Contrast Set > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > What if > Optional challenge > Relates to me > Concept Bank > Day divider > Teacher navigation > Links slide > Image credits
▶ LIVE — Cycle 02 — Ecosystems & Feeding Relationships (VT deck) — with Concept Bank.pptx,Cycle 02 — Ecosystems & Feeding Relationships (Unit 1),37,False,3,6,H-TEACHER-PREP; H-TEACHER-NOTE; H-VOCAB,A-TN-ITEMS; A-CA-NOT-DECLARED; A-COND-NO-REASON; A-VISIBILITY; A-BANK-NO-RELATE; A-WHATIF,9144000x6858000,,,3,14,Critical aspect; Pattern break; Build-a-rule; What-if,0,1,1,0,3,2,Energy flow through trophic levels | Symbiosis and species relationships,True,S7: named alternatives ;; S19: comparison,stock-and-flow model (slide 35),possible conflict case (slide 23),Continuity question (slide 13); Stock-and-flow model (slide 8),False,False,1,Teacher reference > Day divider > Bellringer > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Stock-and-flow model > Contrast Set > Content/Explanation > Build a Rule > Pattern Break > Continuity question > 3-Tier Question > Response slide > Activity > Day divider > Activity > Content/Explanation > Content/Explanation > Contrast Set > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > Concept Bank > Day divider > What if > Optional challenge > Relates to me > 3-Tier Question > Closing checklist > Content/Explanation > Teacher navigation > Links slide > Image credits
▶ LIVE — Cycle 02 — Ecosystems & Feeding Relationships (VT deck).pptx,Cycle 02 — Ecosystems & Feeding Relationships (Unit 1),36,False,4,5,H-TEACHER-PREP; H-CONCEPT-BANK; H-TEACHER-NOTE; H-VOCAB,A-TN-ITEMS; A-CA-NOT-DECLARED; A-COND-NO-REASON; A-VISIBILITY; A-WHATIF,9144000x6858000,,,3,14,Critical aspect; Pattern break; Build-a-rule; What-if,0,0,1,0,3,2,Energy flow through trophic levels | Symbiosis and species relationships,True,S7: named alternatives ;; S19: comparison,stock-and-flow model (slide 34),possible conflict case (slide 23),Continuity question (slide 13); Stock-and-flow model (slide 8),False,False,1,Teacher reference > Day divider > Bellringer > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Stock-and-flow model > Contrast Set > Content/Explanation > Build a Rule > Pattern Break > Continuity question > 3-Tier Question > Response slide > Activity > Day divider > Activity > Content/Explanation > Content/Explanation > Contrast Set > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > Day divider > What if > Optional challenge > Relates to me > 3-Tier Question > Closing checklist > Content/Explanation > Teacher navigation > Links slide > Image credits
▶ LIVE — Cycle 03 — Energy Flow & Trophic Pyramids — with Concept Bank.pptx,Cycle 03 — Energy Flow & Trophic Pyramids (Unit 1),33,False,2,7,H-FORMAT-FONT; H-TEACHER-NOTE,A-TN-ITEMS; A-MOVE1-NO-DIFF; A-CA-NOT-DECLARED; A-COND-NO-REASON; A-VISIBILITY; A-BANK-NO-RELATE; A-WHATIF,9144000x6858000,Inter; Inter ExtraBold; Inter Medium,,2,12,Critical aspect; Pattern break; Build-a-rule; What-if,1,1,1,0,3,2,Producers are the only entry point for energy | Only ~10% of energy passes to the next level,False,S8: comparison ;; S19: NO DIFFERENCE,stock-and-flow model (slide 9),,Stock-and-flow model (slide 9),False,False,1,Bellringer > Teacher Prep > Day divider > Bellringer > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Stock-and-flow model > Contrast Set > Content/Explanation > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > Activity > Day divider > Content/Explanation > Contrast Set > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > What if > Optional challenge > Relates to me > Concept Bank > Day divider > Closing checklist > Links slide > Image credits
▶ LIVE — Cycle 03 — Energy Flow & Trophic Pyramids.pptx,Cycle 03 — Energy Flow & Trophic Pyramids (Unit 1),32,False,3,6,H-FORMAT-FONT; H-CONCEPT-BANK; H-TEACHER-NOTE,A-TN-ITEMS; A-MOVE1-NO-DIFF; A-CA-NOT-DECLARED; A-COND-NO-REASON; A-VISIBILITY; A-WHATIF,9144000x6858000,Inter; Inter ExtraBold; Inter Medium,,2,12,Critical aspect; Pattern break; Build-a-rule; What-if,1,0,1,0,3,2,Producers are the only entry point for energy | Only ~10% of energy passes to the next level,False,S8: comparison ;; S19: NO DIFFERENCE,stock-and-flow model (slide 9),,Stock-and-flow model (slide 9),False,False,1,Bellringer > Teacher Prep > Day divider > Bellringer > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Stock-and-flow model > Contrast Set > Content/Explanation > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > Activity > Day divider > Content/Explanation > Contrast Set > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > What if > Optional challenge > Relates to me > Day divider > Closing checklist > Links slide > Image credits
▶ LIVE — Cycle 04 — Cycles of Matter_ The Carbon Cycle — with Concept Bank.pptx,Cycle 04 — Cycles of Matter_ The Carbon Cycle (Unit 1),30,False,2,7,H-TEACHER-PREP; H-TEACHER-NOTE,A-LINKS-UNLISTED; A-TN-ITEMS; A-CA-NOT-DECLARED; A-COND-NO-REASON; A-VISIBILITY; A-BANK-NO-RELATE; A-WHATIF,9144000x6858000,,,2,12,Critical aspect; Pattern break; Build-a-rule; What-if,0,1,1,0,3,2,"Carbon moves from the air into living things | Matter cycles, energy does not",True,"S7: comparison, change condition ;; S17: comparison",stock-and-flow model (slide 8),,Stock-and-flow model (slide 8),False,False,1,Teacher reference > Day divider > Bellringer > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Stock-and-flow model > Contrast Set > Content/Explanation > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > Day divider > Content/Explanation > Contrast Set > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > What if > Optional challenge > Relates to me > Concept Bank > Day divider > Links slide > Image credits
▶ LIVE — Cycle 04 — Cycles of Matter_ The Carbon Cycle.pptx,Cycle 04 — Cycles of Matter_ The Carbon Cycle (Unit 1),29,False,3,6,H-TEACHER-PREP; H-CONCEPT-BANK; H-TEACHER-NOTE,A-LINKS-UNLISTED; A-TN-ITEMS; A-CA-NOT-DECLARED; A-COND-NO-REASON; A-VISIBILITY; A-WHATIF,9144000x6858000,,,2,12,Critical aspect; Pattern break; Build-a-rule; What-if,0,0,1,0,3,2,"Carbon moves from the air into living things | Matter cycles, energy does not",True,"S7: comparison, change condition ;; S17: comparison",stock-and-flow model (slide 8),,Stock-and-flow model (slide 8),False,False,1,Teacher reference > Day divider > Bellringer > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Stock-and-flow model > Contrast Set > Content/Explanation > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > Day divider > Content/Explanation > Contrast Set > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > What if > Optional challenge > Relates to me > Day divider > Links slide > Image credits
▶ LIVE — Cycle 05 — Photosynthesis — with Concept Bank.pptx,Cycle 05 — Photosynthesis (Unit 1),32,False,1,7,H-TEACHER-NOTE,A-TN-ITEMS; A-MOVE1-NO-DIFF; A-CA-NOT-DECLARED; A-COND-NO-REASON; A-VISIBILITY; A-BANK-NO-RELATE; A-WHATIF,9144000x6858000,,,2,12,Critical aspect; Pattern break; Build-a-rule; What-if,1,1,1,0,3,2,"Light energy becomes chemical energy in glucose | A plant's material comes from air and water, not soil",False,S8: NO DIFFERENCE ;; S18: change condition,stock-and-flow model (slide 9),,Stock-and-flow model (slide 9),False,False,1,Teacher reference > Teacher Prep > Day divider > Bellringer > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Stock-and-flow model > Contrast Set > Content/Explanation > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > Day divider > Content/Explanation > Contrast Set > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > What if > Optional challenge > Relates to me > Concept Bank > Day divider > Closing checklist > Links slide > Image credits
▶ LIVE — Cycle 05 — Photosynthesis.pptx,Cycle 05 — Photosynthesis (Unit 1),31,False,2,6,H-CONCEPT-BANK; H-TEACHER-NOTE,A-TN-ITEMS; A-MOVE1-NO-DIFF; A-CA-NOT-DECLARED; A-COND-NO-REASON; A-VISIBILITY; A-WHATIF,9144000x6858000,,,2,12,Critical aspect; Pattern break; Build-a-rule; What-if,1,0,1,0,3,2,"Light energy becomes chemical energy in glucose | A plant's material comes from air and water, not soil",False,S8: NO DIFFERENCE ;; S18: change condition,stock-and-flow model (slide 9),,Stock-and-flow model (slide 9),False,False,1,Teacher reference > Teacher Prep > Day divider > Bellringer > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Stock-and-flow model > Contrast Set > Content/Explanation > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > Day divider > Content/Explanation > Contrast Set > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > What if > Optional challenge > Relates to me > Day divider > Closing checklist > Links slide > Image credits
