file,folder,slides,ships,hard,advisory,hard_codes,advisory_codes,dims,fonts_offending,colors_offending,tier_slides,diagnostic_slides,markers_present,teacher_prep,concept_bank,links_slide,teacher_note,visibility_ladder,day_dividers,n_aspects,critical_aspects,move1_pass,move1_verdict,coordination,coordination_candidates,conditional_types,visibility_declared,bank_relates,what_if,slide_types_ordered
IMPORT — Cycle 02 FINAL.pptx,IMPORT_FINAL,34,False,2,7,H-TEACHER-PREP; H-TEACHER-NOTE,A-TN-ITEMS; A-VIS-LADDER; A-CA-NOT-DECLARED; A-COND-NO-REASON; A-VISIBILITY; A-BANK-NO-RELATE; A-WHATIF,9144000x6858000,,,2,13,Critical aspect; Pattern break; Build-a-rule; What-if,0,1,1,0,0,3,2,Energy flow through trophic levels | Symbiosis and species relationships,True,S7: named alternatives ;; S19: comparison,stock-and-flow model (slide 32),possible conflict case (slide 23),Continuity question (slide 13); Stock-and-flow model (slide 8),False,False,1,Teacher reference > Day divider > Bellringer > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Stock-and-flow model > Contrast Set > Content/Explanation > Build a Rule > Pattern Break > Continuity question > 3-Tier Question > Response slide > Activity > Day divider > Activity > Content/Explanation > Content/Explanation > Contrast Set > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > What if > Optional challenge > Relates to me > Concept Bank > Day divider > Teacher navigation > Links slide > Image credits
IMPORT — Cycle 03 FINAL.pptx,IMPORT_FINAL,33,False,1,9,H-TEACHER-NOTE,A-PALETTE-DRIFT; A-TN-ITEMS; A-VIS-LADDER; A-MOVE1-NO-DIFF; A-CA-NOT-DECLARED; A-COND-NO-REASON; A-VISIBILITY; A-BANK-NO-RELATE; A-WHATIF,9144000x6858000,,777777,2,12,Critical aspect; Pattern break; Build-a-rule; What-if,1,1,1,0,0,3,2,Producers are the only entry point for energy | Only ~10% of energy passes to the next level,False,S8: comparison ;; S19: NO DIFFERENCE,stock-and-flow model (slide 31),,Stock-and-flow model (slide 9),False,False,1,Bellringer > Teacher Prep > Day divider > Bellringer > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Stock-and-flow model > Contrast Set > Content/Explanation > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > Activity > Day divider > Content/Explanation > Contrast Set > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > What if > Optional challenge > Relates to me > Concept Bank > Day divider > Teacher navigation > Links slide > Image credits
IMPORT — Cycle 04 FINAL.pptx,IMPORT_FINAL,31,False,2,9,H-TEACHER-PREP; H-TEACHER-NOTE,A-PALETTE-DRIFT; A-LINKS-UNLISTED; A-TN-ITEMS; A-VIS-LADDER; A-CA-NOT-DECLARED; A-COND-NO-REASON; A-VISIBILITY; A-BANK-NO-RELATE; A-WHATIF,9144000x6858000,,777777,2,12,Critical aspect; Pattern break; Build-a-rule; What-if,0,1,1,0,0,3,2,"Carbon moves from the air into living things | Matter cycles, energy does not",True,"S7: comparison, change condition ;; S17: comparison",stock-and-flow model (slide 29),,Stock-and-flow model (slide 8),False,False,1,Teacher reference > Day divider > Bellringer > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Stock-and-flow model > Contrast Set > Content/Explanation > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > Day divider > Content/Explanation > Contrast Set > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > What if > Optional challenge > Relates to me > Concept Bank > Day divider > Teacher navigation > Links slide > Image credits
IMPORT — Cycle 05 FINAL.pptx,IMPORT_FINAL,32,False,1,9,H-TEACHER-NOTE,A-PALETTE-DRIFT; A-TN-ITEMS; A-VIS-LADDER; A-MOVE1-NO-DIFF; A-CA-NOT-DECLARED; A-COND-NO-REASON; A-VISIBILITY; A-BANK-NO-RELATE; A-WHATIF,9144000x6858000,,777777,2,12,Critical aspect; Pattern break; Build-a-rule; What-if,1,1,1,0,0,3,2,"Light energy becomes chemical energy in glucose | A plant's material comes from air and water, not soil",False,S8: NO DIFFERENCE ;; S18: change condition,stock-and-flow model (slide 30),,Stock-and-flow model (slide 9),False,False,1,Teacher reference > Teacher Prep > Day divider > Bellringer > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Stock-and-flow model > Contrast Set > Content/Explanation > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > Day divider > Content/Explanation > Contrast Set > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > What if > Optional challenge > Relates to me > Concept Bank > Day divider > Teacher navigation > Links slide > Image credits
IMPORT — Cycle 06 FINAL.pptx,IMPORT_FINAL,34,False,1,9,H-TEACHER-NOTE,A-PALETTE-DRIFT; A-LINKS-UNLISTED; A-TN-ITEMS; A-VIS-LADDER; A-CA-NOT-DECLARED; A-COND-NO-REASON; A-VISIBILITY; A-BANK-NO-RELATE; A-WHATIF,9144000x6858000,,777777,2,12,Critical aspect; Pattern break; Build-a-rule; What-if,1,1,1,0,0,3,2,Releasing the energy in glucose | Oxygen and how much ATP you get,True,S10: comparison ;; S20: comparison,stock-and-flow model (slide 32),,Stock-and-flow model (slide 11),False,False,1,Teacher reference > Content/Explanation > Teacher Prep > Day divider > Bellringer > Bellringer > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Stock-and-flow model > Contrast Set > Content/Explanation > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > Day divider > Content/Explanation > Contrast Set > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > What if > Optional challenge > Relates to me > Concept Bank > Day divider > Teacher navigation > Links slide > Image credits
IMPORT — Cycle 07a FINAL.pptx,IMPORT_FINAL,33,False,1,10,H-TEACHER-NOTE,A-PALETTE-DRIFT; A-TN-ITEMS; A-VIS-LADDER; A-MOVE1-NO-DIFF; A-CA-NOT-DECLARED; A-COND-NO-REASON; A-VISIBILITY; A-BANK-NO-RELATE; A-WHATIF,9144000x6858000,,777777,2,12,Critical aspect; Pattern break; Build-a-rule; What-if,1,1,1,0,0,3,2,Why growth bends — J vs S | What sets carrying capacity,False,S8: NO DIFFERENCE ;; S18: NO DIFFERENCE,stock-and-flow model (slide 31),,Stock-and-flow model (slide 9),False,False,1,Teacher reference > Teacher Prep > Day divider > Bellringer > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Stock-and-flow model > Contrast Set > Content/Explanation > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > Day divider > Content/Explanation > Contrast Set > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > Activity > What if > Optional challenge > Relates to me > Concept Bank > Day divider > Teacher navigation > Links slide > Image credits
IMPORT — Cycle 07b FINAL.pptx,IMPORT_FINAL,32,False,1,9,H-TEACHER-NOTE,A-PALETTE-DRIFT; A-LINKS-UNLISTED; A-TN-ITEMS; A-VIS-LADDER; A-CA-NOT-DECLARED; A-COND-NO-REASON; A-VISIBILITY; A-BANK-NO-RELATE; A-WHATIF,9144000x6858000,,777777,2,12,Critical aspect; Pattern break; Build-a-rule; What-if,1,1,1,0,0,3,2,Where succession is headed | What pioneer species do,True,S8: comparison ;; S18: comparison,stock-and-flow model (slide 30),,Stock-and-flow model (slide 9),False,False,1,Teacher reference > Teacher Prep > Day divider > Bellringer > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Stock-and-flow model > Contrast Set > Content/Explanation > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > Day divider > Content/Explanation > Contrast Set > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > What if > Optional challenge > Relates to me > Concept Bank > Day divider > Teacher navigation > Links slide > Image credits
IMPORT — Cycle 08 FINAL.pptx,IMPORT_FINAL,32,False,1,9,H-TEACHER-NOTE,A-PALETTE-DRIFT; A-LINKS-UNLISTED; A-TN-ITEMS; A-VIS-LADDER; A-MOVE1-NO-DIFF; A-NO-FUSION; A-CA-NOT-DECLARED; A-VISIBILITY; A-BANK-NO-RELATE,9144000x6858000,,777777,2,11,Critical aspect; Pattern break; Build-a-rule; What-if,1,1,1,0,0,3,2,Structure fits function | Plant cell vs animal cell,False,Structure fits function: NO MOVE-1 SLIDE ;; S17: comparison,,,,False,False,1,Teacher reference > Teacher Prep > Day divider > Bellringer > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Contrast Set > Content/Explanation > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > Day divider > Content/Explanation > Contrast Set > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > Content/Explanation > What if > Optional challenge > Relates to me > Concept Bank > Day divider > Teacher navigation > Links slide > Image credits
IMPORT — Cycle 09 FINAL.pptx,IMPORT_FINAL,39,False,1,10,H-TEACHER-NOTE,A-PALETTE-DRIFT; A-LINKS-UNLISTED; A-TN-ITEMS; A-VIS-LADDER; A-MOVE1-NO-DIFF; A-CA-NOT-DECLARED; A-COND-NO-REASON; A-VISIBILITY; A-BANK-NO-RELATE; A-WHATIF,9144000x6858000,,1A1A1A; 777777,2,12,Critical aspect; Pattern break; Build-a-rule; What-if,1,1,1,0,0,3,2,Selective permeability | Bilayer structure,False,"S8: comparison, named alternatives ;; S18: NO DIFFERENCE",stock-and-flow model (slide 37),,Stock-and-flow model (slide 9),False,False,1,Teacher reference > Teacher Prep > Day divider > Bellringer > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Stock-and-flow model > Contrast Set > Content/Explanation > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > Day divider > Content/Explanation > Contrast Set > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > What if > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Build a Rule > Relates to me > Concept Bank > Day divider > Teacher navigation > Links slide > Image credits
IMPORT — Cycle 10 FINAL.pptx,IMPORT_FINAL,35,False,1,8,H-TEACHER-NOTE,A-PALETTE-DRIFT; A-TN-ITEMS; A-VIS-LADDER; A-CA-NOT-DECLARED; A-COND-NO-REASON; A-VISIBILITY; A-BANK-NO-RELATE; A-WHATIF,9144000x6858000,,777777,2,12,Critical aspect; Pattern break; Build-a-rule; What-if,1,1,1,0,0,3,2,"Enzymes lower activation energy and aren't used up | Shape, specificity, and denaturing",True,"S8: comparison, change condition ;; S18: comparison",stock-and-flow model (slide 33),,Stock-and-flow model (slide 9),False,False,1,Teacher reference > Teacher Prep > Day divider > Bellringer > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Stock-and-flow model > Contrast Set > Content/Explanation > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > Day divider > Content/Explanation > Contrast Set > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > Activity > Activity > Activity > What if > Content/Explanation > Relates to me > Concept Bank > Day divider > Teacher navigation > Links slide > Image credits
