folder,name,type,MB
"01 Weekly folders (ppts and Agendas)","Weekly Agenda Build Status — 2026-27 (all courses)",gsheet,0.01
"01- Forensic Serology and Blood Typing","Forensic Serology — VT corrected.pptx",pptx,7.79
"02- Introduction to Blood Spatter","Blood Spatter — VT corrected.pptx",pptx,3.50
"06 MASTERS (TPT)","01 — START HERE — Change Over Time",gdoc,0.00
"06 MASTERS (TPT)","01 — START HERE — Ecology Starter (FREE)",gdoc,0.00
"06 MASTERS (TPT)","01 — START HERE — From Sunlight to Populations",gdoc,0.01
"06 MASTERS (TPT)","01 — START HERE — Inheritance & Information",gdoc,0.01
"06 MASTERS (TPT)","01 — START HERE — The Cell as a System",gdoc,0.00
"06 MASTERS (TPT)","Ecology Starter (FREE) — one sheet.pdf",pdf,0.01
"06 MASTERS (TPT)","From Sunlight to Populations — one sheet.pdf",pdf,0.00
"06 MASTERS (TPT)","Inheritance & Information — one sheet.pdf",pdf,0.00
"06 MASTERS (TPT)","The Cell as a System — one sheet.pdf",pdf,0.00
"Cycle 02 — Ecosystems","_build_notes.txt",txt,0.00
"Cycle 12 — Meiosis and Reproduction","Cycle_12b___Reproduction_VT_split_from_Aug_17_build",gslides,0.51
"DAY 1 / Day 1 / Day 2 & 3 / Day 5 (Forensics)","7 VT lesson .pptx files (Arson, Ballistics, Fingerprints, Fibers, DNA Profiling)",pptx,6.27
"Week 01–37 (A&P)","38 Weekly Agenda .docx files",docx,1.44
"Week 01–35 (Biology)","18 weekly agenda gdocs",gdoc,0.08
"Week 14–34 (Biology)","16 Activity Guide .docx files",docx,0.61
"Week 01–18 (Forensics)","8 Activity Guides and VT decks",mixed,0.28
"Week 10 - Mock Crime Scene","Student Packet + Teacher Setup and Key .docx",docx,0.08
"Week 19 - The Cell Cycle","The Cell Cycle VT",gslides,4.51
"Week 20 - Asexual & Sexual Reproduction","Asexual & Sexual Reproduction VT  ** 51.9 MB - over the export limit **",gslides,51.86
"Week 21 - Stem Cell Differentiation","Stem Cell Differentiation VT",gslides,0.46
"Week 31 - Cell Differentiation and Gene Expression","Biotechnology VT / Genetic Mutations VT / Mutations and Genetic Disorders VT",gslides,13.41
"Week 35 - The Genetic Basis of Adaptation","Population Genetics VT — Insert Slides",gslides,0.01
"Week 36 - The Processes and Outcomes of Evolution","Evolutionary Patterns VT",gslides,9.53
